prompt,code
Sound sensor to detect claps and toggle LED.,"int soundPin = A0;
int ledPin = 13;
boolean ledState = false;
int threshold = 500;

void setup() {
  Serial.begin(9600);
  pinMode(ledPin, OUTPUT);
}
void loop() {
  int soundValue = analogRead(soundPin);
  Serial.println(soundValue);
  
  if (soundValue > threshold) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(300);
  }
  delay(10);
}"
Temperature-controlled cooling fan.,"#include <DHT.h>
#define DHTPIN 4
#define DHTTYPE DHT22
#define FANPIN 8
#define TEMP_THRESHOLD 27.0

DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin();
  pinMode(FANPIN, OUTPUT);
  digitalWrite(FANPIN, LOW);
}
void loop() {
  float temp = dht.readTemperature();
  
  if (!isnan(temp)) {
    Serial.print(""Temperature: "");
    Serial.print(temp);
    Serial.println("" °C"");
    
    if (temp >= TEMP_THRESHOLD) {
      digitalWrite(FANPIN, HIGH);
      Serial.println(""Fan ON"");
    } else {
      digitalWrite(FANPIN, LOW);
      Serial.println(""Fan OFF"");
    }
  }
  delay(2000);
}"
WiFi weather fetch using ESP8266 and display on Serial.,"#include <ESP8266WiFi.h>
#include <ESP8266HTTPClient.h>

const char* ssid = ""YOUR_SSID"";
const char* password = ""YOUR_PASS"";

void setup() {
  Serial.begin(115200);
  WiFi.begin(ssid, password);
  while (WiFi.status() != WL_CONNECTED) {
    delay(500);
    Serial.print(""."");
  }
  Serial.println(""\nConnected!"");
}

void loop() {
  if (WiFi.status() == WL_CONNECTED) {
    HTTPClient http;
    http.begin(""http://api.weatherapi.com/v1/current.json?key=YOUR_KEY&q=London"");
    int httpCode = http.GET();
    if (httpCode == 200) {
      String payload = http.getString();
      Serial.println(payload);
    } else {
      Serial.println(""Failed to fetch data"");
    }
    http.end();
  }
  delay(60000);
}"
RFID door lock using MFRC522 module.,"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 rfid(SS_PIN, RST_PIN);
byte masterCard[] = {0xDE, 0xAD, 0xBE, 0xEF};

void setup() {
  Serial.begin(9600);
  SPI.begin();
  rfid.PCD_Init();
  pinMode(8, OUTPUT); // Lock control
}

void loop() {
  if (!rfid.PICC_IsNewCardPresent()) return;
  if (!rfid.PICC_ReadCardSerial()) return;

  bool match = true;
  for (byte i = 0; i < 4; i++) {
    if (rfid.uid.uidByte[i] != masterCard[i]) {
      match = false;
      break;
    }
  }

  if (match) {
    digitalWrite(8, HIGH);
    delay(5000);
    digitalWrite(8, LOW);
  } else {
    Serial.println(""Access Denied"");
  }
  rfid.PICC_HaltA();
}"
Data logger using SD card and temperature sensor.,"#include <SD.h>
#include <SPI.h>

File logFile;

void setup() {
  Serial.begin(9600);
  if (!SD.begin(4)) {
    Serial.println(""SD fail"");
    return;
  }
}

void loop() {
  int temp = analogRead(A0);
  float c = temp * 5.0 / 1023.0 * 100;

  logFile = SD.open(""log.txt"", FILE_WRITE);
  if (logFile) {
    logFile.println(c);
    logFile.close();
  }
  delay(10000);
}"
Stepper motor control with A4988 and potentiometer.,"const int dirPin = 2;
const int stepPin = 3;

void setup() {
  pinMode(stepPin, OUTPUT);
  pinMode(dirPin, OUTPUT);
}

void loop() {
  int speedVal = analogRead(A0);
  int delayTime = map(speedVal, 0, 1023, 1000, 10);
  digitalWrite(dirPin, HIGH);
  digitalWrite(stepPin, HIGH);
  delayMicroseconds(delayTime);
  digitalWrite(stepPin, LOW);
  delayMicroseconds(delayTime);
}"
Capacitive touch sensor to toggle LED.,"int touchPin = 2;
int ledPin = 13;
bool ledState = false;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(touchPin) == HIGH) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(500);
  }
}"
Control NeoPixel colors with 3 potentiometers (RGB).,"#include <Adafruit_NeoPixel.h>
#define PIN 6

Adafruit_NeoPixel strip(1, PIN, NEO_GRB + NEO_KHZ800);

void setup() {
  strip.begin();
  strip.show();
}

void loop() {
  int r = analogRead(A0) / 4;
  int g = analogRead(A1) / 4;
  int b = analogRead(A2) / 4;
  strip.setPixelColor(0, strip.Color(r, g, b));
  strip.show();
  delay(50);
}"
Ultrasonic parking sensor with buzzer warning.,"#define trigPin 9
#define echoPin 10
#define buzzer 8

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(buzzer, OUTPUT);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  int distance = duration * 0.034 / 2;

  if (distance < 20) {
    tone(buzzer, 1000);
  } else {
    noTone(buzzer);
  }
  delay(100);
}"
Touchless hand sanitizer trigger with IR sensor and relay.,"int irSensor = 2;
int relay = 7;

void setup() {
  pinMode(irSensor, INPUT);
  pinMode(relay, OUTPUT);
}

void loop() {
  if (digitalRead(irSensor) == LOW) {
    digitalWrite(relay, HIGH);
    delay(1000);
    digitalWrite(relay, LOW);
  }
}"
Display system time using DS3231 RTC module.,"#include <Wire.h>
#include <RTClib.h>

RTC_DS3231 rtc;

void setup () {
  Serial.begin(9600);
  rtc.begin();
}

void loop () {
  DateTime now = rtc.now();
  Serial.print(now.hour());
  Serial.print(':');
  Serial.print(now.minute());
  Serial.print(':');
  Serial.println(now.second());
  delay(1000);
}"
DIY digital lock with keypad and servo.,"#include <Keypad.h>
#include <Servo.h>

const byte ROWS = 4, COLS = 4;
char keys[ROWS][COLS] = {
  {'1','2','3','A'}, {'4','5','6','B'},
  {'7','8','9','C'}, {'*','0','#','D'}
};

byte rowPins[ROWS] = {9,8,7,6};
byte colPins[COLS] = {5,4,3,2};

Keypad keypad = Keypad(makeKeymap(keys), rowPins, colPins, ROWS, COLS);
Servo lockServo;

String password = ""1234"";
String input = """";

void setup() {
  lockServo.attach(10);
  lockServo.write(0);
}

void loop() {
  char key = keypad.getKey();
  if (key) {
    if (key == '#') {
      if (input == password) {
        lockServo.write(90);
        delay(3000);
        lockServo.write(0);
      }
      input = """";
    } else {
      input += key;
    }
  }
}"
Use a joystick to control two servo motors.,"#include <Servo.h>

Servo servoX, servoY;

void setup() {
  servoX.attach(9);
  servoY.attach(10);
}

void loop() {
  int xVal = analogRead(A0);
  int yVal = analogRead(A1);

  int angleX = map(xVal, 0, 1023, 0, 180);
  int angleY = map(yVal, 0, 1023, 0, 180);

  servoX.write(angleX);
  servoY.write(angleY);

  delay(20);
}"
Create a simple reaction timer game using a button and LED.,"int ledPin = 8;
int buttonPin = 2;
unsigned long startTime;
bool waiting = false;

void setup() {
  pinMode(ledPin, OUTPUT);
  pinMode(buttonPin, INPUT_PULLUP);
  randomSeed(analogRead(0));
}

void loop() {
  if (!waiting) {
    delay(random(2000, 5000));
    digitalWrite(ledPin, HIGH);
    startTime = millis();
    waiting = true;
  }

  if (waiting && digitalRead(buttonPin) == LOW) {
    unsigned long reactionTime = millis() - startTime;
    digitalWrite(ledPin, LOW);
    Serial.print(""Reaction Time: "");
    Serial.print(reactionTime);
    Serial.println("" ms"");
    waiting = false;
    delay(1000);
  }
}"
Temperature-controlled fan using LM35 and transistor.,"int tempPin = A0;
int fanPin = 9;

void setup() {
  pinMode(fanPin, OUTPUT);
}

void loop() {
  int reading = analogRead(tempPin);
  float voltage = reading * 5.0 / 1023.0;
  float tempC = voltage * 100;

  if (tempC > 30) {
    digitalWrite(fanPin, HIGH);
  } else {
    digitalWrite(fanPin, LOW);
  }

  delay(500);
}"
Auto night lamp using LDR and relay.,"int ldrPin = A0;
int relayPin = 7;

void setup() {
  pinMode(relayPin, OUTPUT);
}

void loop() {
  int ldrValue = analogRead(ldrPin);
  if (ldrValue < 300) {
    digitalWrite(relayPin, HIGH);
  } else {
    digitalWrite(relayPin, LOW);
  }
  delay(200);
}"
Digital thermometer with LM35 and 16x2 LCD.,"#include <LiquidCrystal.h>

LiquidCrystal lcd(12, 11, 5, 4, 3, 2);
int tempPin = A0;

void setup() {
  lcd.begin(16, 2);
}

void loop() {
  int reading = analogRead(tempPin);
  float voltage = reading * 5.0 / 1023.0;
  float tempC = voltage * 100;

  lcd.setCursor(0, 0);
  lcd.print(""Temp: "");
  lcd.print(tempC);
  lcd.print("" C"");

  delay(1000);
}"
Clap switch to toggle LED using sound sensor.,"int soundPin = A0;
int ledPin = 7;
bool ledState = false;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int soundVal = analogRead(soundPin);
  if (soundVal > 500) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(500);
  }
}"
Automatic plant watering system using soil moisture sensor and relay.,"int soilPin = A0;
int relayPin = 8;

void setup() {
  pinMode(relayPin, OUTPUT);
}

void loop() {
  int moisture = analogRead(soilPin);
  if (moisture < 400) {
    digitalWrite(relayPin, HIGH);
    delay(5000);
    digitalWrite(relayPin, LOW);
  }
  delay(1000);
}"
7-segment display counter with button input.,"int segPins[] = {2,3,4,5,6,7,8};
int buttonPin = 9;
int count = 0;
bool lastState = HIGH;

byte digits[10][7] = {
  {1,1,1,1,1,1,0}, // 0
  {0,1,1,0,0,0,0}, // 1
  {1,1,0,1,1,0,1}, // 2
  {1,1,1,1,0,0,1}, // 3
  {0,1,1,0,0,1,1}, // 4
  {1,0,1,1,0,1,1}, // 5
  {1,0,1,1,1,1,1}, // 6
  {1,1,1,0,0,0,0}, // 7
  {1,1,1,1,1,1,1}, // 8
  {1,1,1,0,0,1,1}  // 9
};

void setup() {
  for (int i = 0; i < 7; i++) pinMode(segPins[i], OUTPUT);
  pinMode(buttonPin, INPUT_PULLUP);
}

void loop() {
  bool currentState = digitalRead(buttonPin);
  if (lastState == HIGH && currentState == LOW) {
    count = (count + 1) % 10;
    for (int i = 0; i < 7; i++) {
      digitalWrite(segPins[i], digits[count][i]);
    }
    delay(200);
  }
  lastState = currentState;
}"
Infrared remote control to toggle LED.,"#include <IRremote.h>

const int recvPin = 11;
IRrecv irrecv(recvPin);
decode_results results;
int ledPin = 13;
bool ledState = false;

void setup() {
  Serial.begin(9600);
  irrecv.enableIRIn();
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (irrecv.decode(&results)) {
    Serial.println(results.value, HEX);
    if (results.value == 0xFF30CF) {
      ledState = !ledState;
      digitalWrite(ledPin, ledState);
    }
    irrecv.resume();
  }
}"
Pulse sensor BPM display on serial monitor.,"const int pulsePin = A0;
int signal;
int threshold = 512;
unsigned long lastBeat = 0;
int bpm = 0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  signal = analogRead(pulsePin);
  if (signal > threshold && millis() - lastBeat > 300) {
    unsigned long beatInterval = millis() - lastBeat;
    bpm = 60000 / beatInterval;
    Serial.print(""BPM: "");
    Serial.println(bpm);
    lastBeat = millis();
  }
  delay(20);
}"
Display distance from ultrasonic sensor on 16x2 LCD.,"#include <LiquidCrystal.h>

LiquidCrystal lcd(12, 11, 5, 4, 3, 2);
#define trigPin 9
#define echoPin 10

void setup() {
  lcd.begin(16, 2);
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  int distance = duration * 0.034 / 2;

  lcd.clear();
  lcd.setCursor(0, 0);
  lcd.print(""Distance: "");
  lcd.print(distance);
  lcd.print("" cm"");

  delay(500);
}"
DHT11 temperature and humidity display on serial monitor.,"#include <DHT.h>
#define DHTPIN 2
#define DHTTYPE DHT11

DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin();
}

void loop() {
  float h = dht.readHumidity();
  float t = dht.readTemperature();

  Serial.print(""Temp: "");
  Serial.print(t);
  Serial.print("" *C  Humidity: "");
  Serial.print(h);
  Serial.println("" %"");

  delay(2000);
}"
RGB LED color cycle using delay and analogWrite.,"int red = 9, green = 10, blue = 11;

void setup() {
  pinMode(red, OUTPUT);
  pinMode(green, OUTPUT);
  pinMode(blue, OUTPUT);
}

void loop() {
  for (int i = 0; i < 256; i++) {
    analogWrite(red, i);
    analogWrite(green, 255 - i);
    analogWrite(blue, i / 2);
    delay(10);
  }
}"
Tilt sensor to turn on buzzer when tilted.,"int tiltPin = 2;
int buzzerPin = 8;

void setup() {
  pinMode(tiltPin, INPUT);
  pinMode(buzzerPin, OUTPUT);
}

void loop() {
  if (digitalRead(tiltPin) == HIGH) {
    digitalWrite(buzzerPin, HIGH);
  } else {
    digitalWrite(buzzerPin, LOW);
  }
}"
Use button to cycle between three LED colors.,"int red = 5, green = 6, blue = 7, button = 2;
int state = 0;
bool lastButton = HIGH;

void setup() {
  pinMode(red, OUTPUT);
  pinMode(green, OUTPUT);
  pinMode(blue, OUTPUT);
  pinMode(button, INPUT_PULLUP);
}

void loop() {
  bool current = digitalRead(button);
  if (lastButton == HIGH && current == LOW) {
    state = (state + 1) % 3;
    switch (state) {
      case 0: digitalWrite(red, HIGH); digitalWrite(green, LOW); digitalWrite(blue, LOW); break;
      case 1: digitalWrite(red, LOW); digitalWrite(green, HIGH); digitalWrite(blue, LOW); break;
      case 2: digitalWrite(red, LOW); digitalWrite(green, LOW); digitalWrite(blue, HIGH); break;
    }
    delay(300);
  }
  lastButton = current;
}"
Flame sensor to trigger buzzer and LED alarm.,"int flamePin = A0;
int ledPin = 7;
int buzzerPin = 8;

void setup() {
  pinMode(ledPin, OUTPUT);
  pinMode(buzzerPin, OUTPUT);
}

void loop() {
  int flameVal = analogRead(flamePin);
  if (flameVal < 300) {
    digitalWrite(ledPin, HIGH);
    digitalWrite(buzzerPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
    digitalWrite(buzzerPin, LOW);
  }
  delay(100);
}"
Control servo motor angle using a potentiometer.,"#include <Servo.h>

Servo myServo;

void setup() {
  myServo.attach(9);
}

void loop() {
  int potVal = analogRead(A0);
  int angle = map(potVal, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
Buzzer plays melody using tone() function.,"int buzzer = 8;
int melody[] = {262, 294, 330, 349, 392, 440, 494, 523};

void setup() {}

void loop() {
  for (int i = 0; i < 8; i++) {
    tone(buzzer, melody[i]);
    delay(300);
    noTone(buzzer);
    delay(100);
  }
  delay(1000);
}"
Light chaser effect on 8 LEDs using shift register 74HC595.,"int latchPin = 8;
int clockPin = 12;
int dataPin = 11;

void setup() {
  pinMode(latchPin, OUTPUT);
  pinMode(clockPin, OUTPUT);
  pinMode(dataPin, OUTPUT);
}

void loop() {
  for (int i = 0; i < 8; i++) {
    digitalWrite(latchPin, LOW);
    shiftOut(dataPin, clockPin, MSBFIRST, 1 << i);
    digitalWrite(latchPin, HIGH);
    delay(100);
  }
}"
Count people entering with two IR sensors (entry-exit logic).,"int sensorIn = 2;
int sensorOut = 3;
int count = 0;

void setup() {
  pinMode(sensorIn, INPUT);
  pinMode(sensorOut, INPUT);
  Serial.begin(9600);
}

void loop() {
  if (digitalRead(sensorIn) == LOW) {
    count++;
    Serial.print(""People In: "");
    Serial.println(count);
    delay(1000);
  }
  if (digitalRead(sensorOut) == LOW && count > 0) {
    count--;
    Serial.print(""People Out: "");
    Serial.println(count);
    delay(1000);
  }
}"
Keypad password entry system with lock/unlock status on serial monitor.,"#include <Keypad.h>

const byte ROWS = 4;
const byte COLS = 4;
char keys[ROWS][COLS] = {
  {'1','2','3','A'},
  {'4','5','6','B'},
  {'7','8','9','C'},
  {'*','0','#','D'}
};

byte rowPins[ROWS] = {9, 8, 7, 6};
byte colPins[COLS] = {5, 4, 3, 2};

Keypad keypad = Keypad(makeKeymap(keys), rowPins, colPins, ROWS, COLS);
String password = ""1234"";
String input = """";

void setup() {
  Serial.begin(9600);
}

void loop() {
  char key = keypad.getKey();
  if (key) {
    if (key == '#') {
      if (input == password) {
        Serial.println(""Unlocked"");
      } else {
        Serial.println(""Wrong Password"");
      }
      input = """";
    } else {
      input += key;
    }
  }
}"
Ultrasonic parking assistant with LED and buzzer based on distance.,"#define trigPin 9
#define echoPin 10
#define buzzer 6
#define led 7

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(buzzer, OUTPUT);
  pinMode(led, OUTPUT);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);
  long duration = pulseIn(echoPin, HIGH);
  int distance = duration * 0.034 / 2;

  if (distance < 20) {
    digitalWrite(buzzer, HIGH);
    digitalWrite(led, HIGH);
  } else {
    digitalWrite(buzzer, LOW);
    digitalWrite(led, LOW);
  }

  delay(100);
}"
Line follower robot using two IR sensors and two motors.,"#define leftSensor A0
#define rightSensor A1
#define leftMotor1 2
#define leftMotor2 3
#define rightMotor1 4
#define rightMotor2 5

void setup() {
  pinMode(leftSensor, INPUT);
  pinMode(rightSensor, INPUT);
  pinMode(leftMotor1, OUTPUT);
  pinMode(leftMotor2, OUTPUT);
  pinMode(rightMotor1, OUTPUT);
  pinMode(rightMotor2, OUTPUT);
}

void loop() {
  int left = analogRead(leftSensor);
  int right = analogRead(rightSensor);

  if (left < 500 && right < 500) {
    forward();
  } else if (left < 500) {
    turnLeft();
  } else if (right < 500) {
    turnRight();
  } else {
    stopMotors();
  }
}

void forward() {
  digitalWrite(leftMotor1, HIGH); digitalWrite(leftMotor2, LOW);
  digitalWrite(rightMotor1, HIGH); digitalWrite(rightMotor2, LOW);
}

void turnLeft() {
  digitalWrite(leftMotor1, LOW); digitalWrite(leftMotor2, HIGH);
  digitalWrite(rightMotor1, HIGH); digitalWrite(rightMotor2, LOW);
}

void turnRight() {
  digitalWrite(leftMotor1, HIGH); digitalWrite(leftMotor2, LOW);
  digitalWrite(rightMotor1, LOW); digitalWrite(rightMotor2, HIGH);
}

void stopMotors() {
  digitalWrite(leftMotor1, LOW); digitalWrite(leftMotor2, LOW);
  digitalWrite(rightMotor1, LOW); digitalWrite(rightMotor2, LOW);
}"
Real-time clock (RTC) module displaying time on serial monitor.,"#include <Wire.h>
#include ""RTClib.h""

RTC_DS1307 rtc;

void setup() {
  Serial.begin(9600);
  rtc.begin();
  if (!rtc.isrunning()) {
    rtc.adjust(DateTime(__DATE__, __TIME__));
  }
}

void loop() {
  DateTime now = rtc.now();
  Serial.print(now.hour());
  Serial.print(':');
  Serial.print(now.minute());
  Serial.print(':');
  Serial.println(now.second());
  delay(1000);
}"
Motion-activated light using PIR sensor and relay.,"int pirPin = 2;
int relayPin = 8;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(relayPin, OUTPUT);
}

void loop() {
  if (digitalRead(pirPin) == HIGH) {
    digitalWrite(relayPin, HIGH);
  } else {
    digitalWrite(relayPin, LOW);
  }
}"
Capacitive touch sensor to toggle LED.,"int touchPin = 2;
int ledPin = 13;
bool ledState = false;
bool lastState = LOW;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  bool currentState = digitalRead(touchPin);
  if (currentState == HIGH && lastState == LOW) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(300);
  }
  lastState = currentState;
}"
Traffic light controller with pedestrian button.,"int red = 2, yellow = 3, green = 4, button = 5;

void setup() {
  pinMode(red, OUTPUT);
  pinMode(yellow, OUTPUT);
  pinMode(green, OUTPUT);
  pinMode(button, INPUT_PULLUP);
}

void loop() {
  if (digitalRead(button) == LOW) {
    digitalWrite(green, LOW);
    digitalWrite(yellow, HIGH);
    delay(2000);
    digitalWrite(yellow, LOW);
    digitalWrite(red, HIGH);
    delay(5000);
    digitalWrite(red, LOW);
    digitalWrite(green, HIGH);
  }
}"
Sound-activated LED pattern using sound sensor.,"int soundPin = A0;
int ledPins[] = {3, 4, 5, 6, 7};

void setup() {
  for (int i = 0; i < 5; i++) pinMode(ledPins[i], OUTPUT);
}

void loop() {
  int soundLevel = analogRead(soundPin);
  int ledsToLight = map(soundLevel, 0, 1023, 0, 5);
  for (int i = 0; i < 5; i++) {
    digitalWrite(ledPins[i], i < ledsToLight ? HIGH : LOW);
  }
  delay(50);
}"
Data logger storing temperature to SD card.,"#include <SPI.h>
#include <SD.h>

const int chipSelect = 10;
int tempPin = A0;

void setup() {
  Serial.begin(9600);
  SD.begin(chipSelect);
}

void loop() {
  File dataFile = SD.open(""temp.txt"", FILE_WRITE);
  float temp = analogRead(tempPin) * 5.0 * 100.0 / 1023.0;
  if (dataFile) {
    dataFile.println(temp);
    dataFile.close();
  }
  delay(2000);
}"
Heartbeat sensor with BPM calculation and LED blink.,"int pulsePin = A0;
int threshold = 512;
unsigned long lastBeat = 0;
int bpm;

void setup() {
  pinMode(13, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int signal = analogRead(pulsePin);
  if (signal > threshold && millis() - lastBeat > 300) {
    unsigned long beatTime = millis() - lastBeat;
    bpm = 60000 / beatTime;
    Serial.print(""BPM: "");
    Serial.println(bpm);
    digitalWrite(13, HIGH);
    delay(50);
    digitalWrite(13, LOW);
    lastBeat = millis();
  }
}"
Bluetooth-controlled LED via HC-05 module.,"char incomingChar;

void setup() {
  Serial.begin(9600); // HC-05 default baud rate
  pinMode(13, OUTPUT);
}

void loop() {
  if (Serial.available()) {
    incomingChar = Serial.read();
    if (incomingChar == '1') {
      digitalWrite(13, HIGH);
    } else if (incomingChar == '0') {
      digitalWrite(13, LOW);
    }
  }
}"
Infrared remote-controlled fan speed using IR receiver and PWM.,"#include <IRremote.h>
const int recv_pin = 11;
const int fan = 9;
IRrecv irrecv(recv_pin);
decode_results results;

void setup() {
  irrecv.enableIRIn();
  pinMode(fan, OUTPUT);
}

void loop() {
  if (irrecv.decode(&results)) {
    long code = results.value;
    if (code == 0xFFA25D) analogWrite(fan, 85);   // Low
    else if (code == 0xFF629D) analogWrite(fan, 170); // Medium
    else if (code == 0xFFE21D) analogWrite(fan, 255); // High
    else if (code == 0xFF22DD) analogWrite(fan, 0);   // Off
    irrecv.resume();
  }
}"
OLED display clock using DS3231 RTC module.,"#include <Wire.h>
#include <Adafruit_GFX.h>
#include <Adafruit_SSD1306.h>
#include <RTClib.h>

RTC_DS3231 rtc;
Adafruit_SSD1306 display(128, 64, &Wire, -1);

void setup() {
  rtc.begin();
  display.begin(SSD1306_SWITCHCAPVCC, 0x3C);
  display.clearDisplay();
}

void loop() {
  DateTime now = rtc.now();
  display.clearDisplay();
  display.setTextSize(2);
  display.setTextColor(SSD1306_WHITE);
  display.setCursor(0, 20);
  display.print(now.hour());
  display.print("":"");
  display.print(now.minute());
  display.print("":"");
  display.print(now.second());
  display.display();
  delay(1000);
}"
Measure soil moisture and trigger pump if dry.,"int soilPin = A0;
int pumpPin = 8;

void setup() {
  pinMode(pumpPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int moisture = analogRead(soilPin);
  Serial.print(""Soil: "");
  Serial.println(moisture);
  if (moisture < 400) {
    digitalWrite(pumpPin, HIGH);
  } else {
    digitalWrite(pumpPin, LOW);
  }
  delay(1000);
}"
RFID door lock system using MFRC522 module.,"#include <SPI.h>
#include <MFRC522.h>

#define SS_PIN 10
#define RST_PIN 9
MFRC522 rfid(SS_PIN, RST_PIN);
byte allowedUID[] = {0xDE, 0xAD, 0xBE, 0xEF};
int relay = 8;

void setup() {
  Serial.begin(9600);
  SPI.begin();
  rfid.PCD_Init();
  pinMode(relay, OUTPUT);
  digitalWrite(relay, LOW);
}

void loop() {
  if (!rfid.PICC_IsNewCardPresent() || !rfid.PICC_ReadCardSerial()) return;

  bool match = true;
  for (byte i = 0; i < 4; i++) {
    if (rfid.uid.uidByte[i] != allowedUID[i]) match = false;
  }

  if (match) {
    digitalWrite(relay, HIGH);
    delay(3000);
    digitalWrite(relay, LOW);
  }

  rfid.PICC_HaltA();
}"
Touchless water dispenser using ultrasonic sensor and relay.,"#define trigPin 9
#define echoPin 10
#define relayPin 8

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(relayPin, OUTPUT);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  int distance = duration * 0.034 / 2;

  if (distance < 10) {
    digitalWrite(relayPin, HIGH);
  } else {
    digitalWrite(relayPin, LOW);
  }
  delay(100);
}"
OLED weather station displaying DHT11 data.,"#include <Adafruit_GFX.h>
#include <Adafruit_SSD1306.h>
#include <DHT.h>

#define DHTPIN 2
#define DHTTYPE DHT11
DHT dht(DHTPIN, DHTTYPE);
Adafruit_SSD1306 display(128, 64, &Wire, -1);

void setup() {
  dht.begin();
  display.begin(SSD1306_SWITCHCAPVCC, 0x3C);
}

void loop() {
  float temp = dht.readTemperature();
  float hum = dht.readHumidity();

  display.clearDisplay();
  display.setTextSize(1);
  display.setTextColor(SSD1306_WHITE);
  display.setCursor(0, 10);
  display.print(""Temp: "");
  display.print(temp);
  display.print("" C"");
  display.setCursor(0, 30);
  display.print(""Humidity: "");
  display.print(hum);
  display.print("" %"");
  display.display();
  delay(2000);
}"
Gas leak detector using MQ-2 sensor and alarm system.,"int mqPin = A0;
int buzzer = 9;
int led = 8;

void setup() {
  pinMode(buzzer, OUTPUT);
  pinMode(led, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int gas = analogRead(mqPin);
  Serial.println(gas);
  if (gas > 400) {
    digitalWrite(buzzer, HIGH);
    digitalWrite(led, HIGH);
  } else {
    digitalWrite(buzzer, LOW);
    digitalWrite(led, LOW);
  }
  delay(500);
}"
EEPROM-based counter that saves value across resets.,"#include <EEPROM.h>

int buttonPin = 2;
int counter = 0;
bool lastState = HIGH;

void setup() {
  pinMode(buttonPin, INPUT_PULLUP);
  Serial.begin(9600);
  counter = EEPROM.read(0);
}

void loop() {
  bool currentState = digitalRead(buttonPin);
  if (lastState == HIGH && currentState == LOW) {
    counter++;
    EEPROM.write(0, counter);
    Serial.print(""Counter: "");
    Serial.println(counter);
    delay(200);
  }
  lastState = currentState;
}"
Light intensity-based motor speed control using LDR.,"int ldrPin = A0;
int motorPin = 9;

void setup() {
  pinMode(motorPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int light = analogRead(ldrPin);
  int speed = map(light, 0, 1023, 0, 255);
  analogWrite(motorPin, speed);
  Serial.println(speed);
  delay(100);
}"
Blink the built-in LED every second.,"void setup() {
  pinMode(LED_BUILTIN, OUTPUT);
}

void loop() {
  digitalWrite(LED_BUILTIN, HIGH);
  delay(1000);
  digitalWrite(LED_BUILTIN, LOW);
  delay(1000);
}"
Blink the LED rapidly (100ms intervals).,"void setup() {
  pinMode(LED_BUILTIN, OUTPUT);
}

void loop() {
  digitalWrite(LED_BUILTIN, HIGH);
  delay(100);
  digitalWrite(LED_BUILTIN, LOW);
  delay(100);
}"
Blink LED only while button is pressed.,"void setup() {
  pinMode(LED_BUILTIN, OUTPUT);
  pinMode(2, INPUT_PULLUP);
}

void loop() {
  if (!digitalRead(2)) {
    digitalWrite(LED_BUILTIN, HIGH);
    delay(200);
    digitalWrite(LED_BUILTIN, LOW);
    delay(200);
  }
}"
Blink LED with speed controlled by potentiometer.,"void setup() {
  pinMode(LED_BUILTIN, OUTPUT);
}

void loop() {
  int delayTime = analogRead(A0) / 10;
  digitalWrite(LED_BUILTIN, HIGH);
  delay(delayTime);
  digitalWrite(LED_BUILTIN, LOW);
  delay(delayTime);
}"
